iter	MultiClass
0	2.827715397
1	2.591100485
2	2.468793966
3	2.360951847
4	2.240605585
5	2.145539305
6	2.0612205
7	1.983938864
8	1.923106223
9	1.858986289
10	1.806110046
11	1.754745854
12	1.72008286
13	1.680523217
14	1.644616452
15	1.605244015
16	1.572824353
17	1.538361555
18	1.506561796
19	1.45693788
20	1.428679059
21	1.395753177
22	1.356746201
23	1.320675232
24	1.297104076
25	1.26789519
26	1.232429148
27	1.207319068
28	1.188626979
29	1.165886167
30	1.15006259
31	1.12914035
32	1.108483005
33	1.083314051
34	1.066929007
35	1.050955558
36	1.027605796
37	1.005031089
38	0.984434575
39	0.9696865068
40	0.9527508065
41	0.9412850927
42	0.9273528637
43	0.9133490536
44	0.9007221853
45	0.888209721
46	0.8784871901
47	0.8690652708
48	0.84961025
49	0.8375511373
50	0.8264106208
51	0.8124117555
52	0.801596312
53	0.7911732156
54	0.7802470501
55	0.7696301944
56	0.7600858864
57	0.7480321234
58	0.7408448181
59	0.7342414383
60	0.7270748076
61	0.7186012448
62	0.7051588809
63	0.6939234193
64	0.6862667387
65	0.6767244265
66	0.6657983807
67	0.6611752002
68	0.6567416499
69	0.6491820943
70	0.6438921435
71	0.6328311144
72	0.6243279093
73	0.6188029829
74	0.6146939408
75	0.6086259825
76	0.6026550572
77	0.5945549914
78	0.5869760781
79	0.5816744793
80	0.5750715275
81	0.5669039852
82	0.5601577495
83	0.5509027591
84	0.5478233255
85	0.5394688025
86	0.5337703474
87	0.5288523329
88	0.5246954236
89	0.5184382616
90	0.5146949182
91	0.5076863467
92	0.5012196635
93	0.4978093
94	0.4921618652
95	0.4854563536
96	0.4819971701
97	0.4779524407
98	0.4736531915
99	0.4663191953
100	0.4629921141
101	0.4598824825
102	0.4574138379
103	0.4536738526
104	0.4500192698
105	0.4456091361
106	0.4410792592
107	0.4362056519
108	0.4336147396
109	0.4288975393
110	0.4262851617
111	0.4207600513
112	0.4163259114
113	0.4130615932
114	0.4075815179
115	0.4031977299
116	0.4003289604
117	0.3959011063
118	0.3939256211
119	0.3893107539
120	0.3873043443
121	0.3834107593
122	0.3787871864
123	0.3747074131
124	0.3707712792
125	0.3691594681
126	0.365363412
127	0.3611452758
128	0.3574693613
129	0.3553282099
130	0.3531837547
131	0.3491642636
132	0.3458042882
133	0.3438168409
134	0.3424969593
135	0.3388951548
136	0.3373288743
137	0.335715336
138	0.332472193
139	0.3308565829
140	0.3287619071
141	0.3256370691
142	0.3219812637
143	0.3193726972
144	0.3179453923
145	0.3165377645
146	0.3135282739
147	0.3123678517
148	0.3110557409
149	0.3089294626
150	0.3069105066
151	0.304032779
152	0.3020087118
153	0.2997789421
154	0.2976095152
155	0.2941627424
156	0.2905723557
157	0.2869300606
158	0.2858488947
159	0.2846022242
160	0.2825485809
161	0.2805433635
162	0.2779860368
163	0.2761107792
164	0.2737362178
165	0.2720057494
166	0.2683628406
167	0.2659230888
168	0.2649759506
169	0.2631395036
170	0.2621813147
171	0.2607707387
172	0.2593820235
173	0.2584738967
174	0.2569403012
175	0.2557254958
176	0.2547731273
177	0.2526995665
178	0.2518503854
179	0.2502175518
180	0.2482306832
181	0.2458168448
182	0.2448105034
183	0.2425778768
184	0.2411303463
185	0.2387866563
186	0.2371812474
187	0.2360702058
188	0.234239131
189	0.2334645434
190	0.2317149375
191	0.2289126555
192	0.2269905983
193	0.2257919449
194	0.2235734178
195	0.2227865354
196	0.2215198551
197	0.2202221298
198	0.2193312383
199	0.2167605918
200	0.2159469813
201	0.2136414128
202	0.212293878
203	0.2114147673
204	0.2099901227
205	0.2093524062
206	0.2074896201
207	0.2068848089
208	0.2053856265
209	0.2039998539
210	0.2024949495
211	0.2013487905
212	0.2006557896
213	0.199986453
214	0.1988952724
215	0.1963945131
216	0.1950285539
217	0.1943228364
218	0.1932180184
219	0.19230978
220	0.1910720673
221	0.1901268538
222	0.1883433534
223	0.1877503923
224	0.1864285492
225	0.1850022099
226	0.1844035455
227	0.1831687124
228	0.1820348607
229	0.1810621007
230	0.1799559549
231	0.1787935239
232	0.1782913217
233	0.1773689571
234	0.1769024522
235	0.1763227046
236	0.1758423983
237	0.1749770562
238	0.173195919
239	0.172240821
240	0.1708334545
241	0.1698699129
242	0.1688388243
243	0.1683201271
244	0.1676096792
245	0.1664995755
246	0.1652486052
247	0.1646614813
248	0.163275628
249	0.1620897026
250	0.1615089865
251	0.160304015
252	0.1598513976
253	0.1589665361
254	0.158492286
255	0.1577780958
256	0.157183766
257	0.1561400119
258	0.155255898
259	0.1542561716
260	0.1535156386
261	0.1524496086
262	0.151629191
263	0.1502148376
264	0.1488445795
265	0.1475160024
266	0.1468856483
267	0.1461361296
268	0.1454499131
269	0.1448824424
270	0.1439743486
271	0.1430503989
272	0.142595513
273	0.1421700261
274	0.1417710368
275	0.1413213778
276	0.1404626242
277	0.139176737
278	0.1385398581
279	0.1375291979
280	0.136537172
281	0.1359084508
282	0.1348160439
283	0.1340219537
284	0.1334370322
285	0.1330039499
286	0.1319585312
287	0.1315608273
288	0.1311194495
289	0.1306391778
290	0.1299357776
291	0.129331484
292	0.1286038504
293	0.1277623185
294	0.1269736516
295	0.1265979653
296	0.1257088215
297	0.1253840687
298	0.1243219677
299	0.123658208
300	0.1228936845
301	0.1225265778
302	0.1221132357
303	0.1213709222
304	0.1206625952
305	0.120365136
306	0.1200406042
307	0.1195499085
308	0.1191271834
309	0.1183777005
310	0.1175115428
311	0.1171288329
312	0.1166574116
313	0.116372978
314	0.1156316546
315	0.114828288
316	0.1142348583
317	0.1134156205
318	0.1127112252
319	0.1119530888
320	0.1110470722
321	0.1106730481
322	0.1098071501
323	0.1094617426
324	0.1086495303
325	0.1082218307
326	0.1075517285
327	0.1071171527
328	0.106801091
329	0.1060906421
330	0.105755365
331	0.1052275982
332	0.1046265064
333	0.1038728459
334	0.1032122939
335	0.1028681691
336	0.1026516299
337	0.1020940894
338	0.1012011242
339	0.1008782442
340	0.1006460319
341	0.1004204091
342	0.09985133302
343	0.09949106456
344	0.09898524044
345	0.09859430476
346	0.09803254906
347	0.09778693007
348	0.09736593633
349	0.09712847992
350	0.09683333984
351	0.09634798392
352	0.09614167586
353	0.09555706044
354	0.09511959183
355	0.09435399153
356	0.09408887639
357	0.09351698453
358	0.09313311079
359	0.09259708094
360	0.09231665612
361	0.09186172839
362	0.09094903288
363	0.09062315016
364	0.09029146323
365	0.08988850359
366	0.08948997817
367	0.08916152086
368	0.08865499026
369	0.08830413732
370	0.08803048505
371	0.0876435834
