iter	Passed	Remaining
0	1625	602876
1	3052	564664
2	4391	540097
3	5732	527415
4	7245	531818
5	8968	547095
6	10244	534152
7	11910	541940
8	13232	533719
9	14627	529522
10	16149	529997
11	17656	529687
12	19071	526680
13	20495	524107
14	21846	519947
15	23189	515957
16	24513	511902
17	26082	512962
18	27496	510854
19	29254	514872
20	30561	510821
21	31914	507738
22	33489	508170
23	35081	508684
24	36332	504298
25	37948	505004
26	39567	505588
27	41196	506123
28	42369	501132
29	43608	497135
30	44964	494604
31	46226	491153
32	47468	487628
33	49010	487218
34	50282	484151
35	51535	480995
36	52929	479226
37	54445	478548
38	55853	476902
39	57138	474249
40	58492	472219
41	59730	469312
42	60840	465497
43	62279	464263
44	63389	460626
45	64793	459187
46	65977	456230
47	67117	453042
48	68406	450927
49	69725	449034
50	70987	446804
51	72554	446490
52	73757	443939
53	75076	442117
54	76589	441434
55	77845	439269
56	79331	438409
57	80831	437605
58	81920	434595
59	83063	431928
60	84183	429197
61	85415	427079
62	86868	426069
63	88222	424571
64	89551	422959
65	91106	422401
66	92497	421071
67	93824	419448
68	94975	417064
69	96110	414646
70	97224	412176
71	98929	412207
72	100278	410729
73	101622	409238
74	102660	406535
75	103957	404886
76	105244	403208
77	106618	401870
78	108045	400727
79	109294	398923
80	110562	397206
81	112222	396883
82	113703	395907
83	115216	395027
84	116569	393594
85	118086	392707
86	119408	391164
87	120666	389425
88	121788	387260
89	123194	386009
90	124390	384107
91	125828	382957
92	127286	381860
93	128383	379686
94	129757	378344
95	131292	377466
96	132517	375694
97	133867	374283
98	135015	372316
99	136349	370871
100	137514	368974
101	138643	366997
102	139641	364695
103	140801	362834
104	141963	360994
105	143243	359460
106	144587	358090
107	145933	356726
108	147140	355025
109	148657	354074
110	149764	352149
111	151123	350822
112	152499	349533
113	153851	348190
114	155300	347063
115	156818	346081
116	157992	344342
117	159505	343343
118	160795	341860
119	162244	340714
120	163451	339060
121	164713	337527
122	166183	336420
123	167703	335407
124	169226	334390
125	170325	332539
126	171880	331580
127	173216	330194
128	174725	329134
129	175864	327377
130	177100	325810
131	178576	324684
132	179975	323414
133	181258	321936
134	182386	320189
135	183793	318936
136	185079	317471
137	186186	315707
138	187617	314494
139	188836	312928
140	190014	311300
141	191553	310263
142	193200	309391
143	194480	307926
144	195753	306456
145	196867	304740
146	198284	303496
147	199430	301840
148	200517	300103
149	201901	298814
150	203262	297489
151	204798	296418
152	206220	295178
153	207825	294195
154	209015	292622
155	210370	291282
156	211825	290079
157	213229	288804
158	214243	287004
159	215320	285300
160	216732	284040
161	217905	282470
162	219376	281286
163	220626	279819
164	221821	278285
165	223148	276918
166	224625	275738
167	226119	274573
168	227387	273134
169	228826	271900
170	229955	270298
171	231200	268837
172	232281	267190
173	233433	265631
174	234702	264208
175	235746	262536
176	237073	261183
177	238580	260025
178	239672	258417
179	240983	257049
180	242426	255820
181	244097	254826
182	245338	253382
183	246675	252037
184	248203	250887
185	249638	249638
186	250947	248263
187	252113	246749
188	253404	245359
189	254577	243858
190	255948	242548
191	257476	241384
192	258926	240144
193	260097	238646
194	261611	237463
195	262700	235894
196	263892	234422
197	265393	233224
198	266512	231691
199	267997	230478
200	269108	228942
201	270408	227571
202	271848	226317
203	273128	224929
204	274358	223502
205	275479	221988
206	276929	220740
207	278108	219277
208	279396	217902
209	280753	216581
210	281940	215129
211	283045	213619
212	284127	212094
213	285130	210516
214	286528	209232
215	287815	207866
216	289103	206502
217	290314	205084
218	291762	203834
219	292855	202336
220	294106	200950
221	295245	199490
222	296783	198299
223	298069	196938
224	299318	195554
225	300649	194225
226	301769	192760
227	303041	191394
228	304577	190194
229	305763	188775
230	307030	187408
231	308633	186244
232	309697	184755
233	311035	183431
234	312217	182016
235	313357	180579
236	314577	179189
237	316040	177938
238	317358	176605
239	318888	175388
240	320328	174120
241	321592	172756
242	322830	171379
243	323916	169923
244	325067	168504
245	326356	167158
246	327732	165856
247	328898	164449
248	330305	163163
249	331705	161872
250	332867	160465
251	334294	159187
252	335520	157813
253	336915	156519
254	338105	155130
255	339703	153928
256	340780	152489
257	341991	151112
258	343284	149772
259	344647	148463
260	345994	147147
261	347472	145885
262	348732	144531
263	350338	143320
264	351987	142123
265	353614	140914
266	354790	139524
267	355961	138134
268	357388	136843
269	358444	135412
270	359801	134095
271	360978	132712
272	362152	131329
273	363076	129859
274	364012	128397
275	365089	126987
276	366416	125666
277	367867	124386
278	369269	123089
279	370723	121809
280	372121	120509
281	373664	119254
282	374930	117910
283	376288	116596
284	377373	115198
285	378476	113807
286	380166	112592
287	381457	111258
288	382606	109883
289	383809	108525
290	385170	107212
291	386632	105926
292	388296	104694
293	389906	103444
294	391470	102180
295	392621	100808
296	394441	99606
297	396068	98352
298	398069	97187
299	399776	95946
300	401769	94769
301	403580	93545
302	405093	92248
303	406578	90945
304	408213	89673
305	409417	88305
306	410718	86959
307	411962	85602
308	414080	84424
309	416503	83300
310	418781	82140
311	420299	80826
312	422073	79560
313	423465	78219
314	425085	76920
315	426851	75644
316	428464	74339
317	430300	73069
318	431841	71747
319	433399	70427
320	435158	69137
321	436428	67768
322	438055	66454
323	439447	65103
324	441066	63784
325	442383	62422
326	444040	61106
327	445411	59750
328	446761	58391
329	448535	57086
330	449839	55720
331	451405	54386
332	453208	53078
333	454672	51729
334	456594	50429
335	457846	49054
336	459157	47686
337	460817	46354
338	462510	45023
339	463854	43656
340	465016	42274
341	466393	40911
342	468000	39568
343	469782	38238
344	471059	36865
345	472473	35503
346	474022	34151
347	475402	32786
348	477014	31436
349	478405	30071
350	479591	28693
351	481237	27343
352	482446	25967
353	484140	24617
354	485651	23256
355	487266	21899
356	488620	20530
357	490039	19163
358	491554	17800
359	493011	16433
360	494226	15059
361	495712	13693
362	497220	12327
363	498465	10955
364	499722	9583
365	501331	8218
366	502846	6850
367	504272	5481
368	505872	4112
369	507229	2741
370	508502	1370
371	510226	0
